,Transcript ID,Position,Score
0,ENST00000000233,244,0.22130771
1,ENST00000000233,261,0.31579176
2,ENST00000000233,316,0.056980588
3,ENST00000000233,332,0.015434671
4,ENST00000000233,368,0.44949436
5,ENST00000000233,404,0.004987472
6,ENST00000000233,431,0.9694569
7,ENST00000000233,440,0.07166204
8,ENST00000000233,471,0.8252872
9,ENST00000000233,539,0.23850809
10,ENST00000000233,571,0.03523812
11,ENST00000000233,575,0.017858522
12,ENST00000000233,665,0.91404635
13,ENST00000000233,696,0.008283322
14,ENST00000000233,752,0.038454823
15,ENST00000000233,757,0.6803174
16,ENST00000000233,765,0.81096315
17,ENST00000000233,913,0.06813007
18,ENST00000000412,355,0.33688223
19,ENST00000000412,367,0.077297956
20,ENST00000000412,496,0.08460294
21,ENST00000000412,501,0.5552419
22,ENST00000000412,547,0.53678745
23,ENST00000000412,559,0.3562279
24,ENST00000000412,627,0.0077898363
25,ENST00000000412,674,0.10984391
26,ENST00000000412,769,0.012425855
27,ENST00000000412,783,0.046366464
28,ENST00000000412,793,0.05764487
29,ENST00000000412,854,0.002926176
30,ENST00000000412,923,0.028756388
31,ENST00000000412,932,0.001010749
32,ENST00000000412,1190,0.16016719
33,ENST00000000412,1209,0.010026662
34,ENST00000000412,1250,0.10496573
35,ENST00000000412,1283,0.007514955
36,ENST00000000412,1343,0.00072151073
37,ENST00000000412,1458,0.007696301
38,ENST00000000412,1545,0.0052542235
39,ENST00000000412,1570,0.025922464
40,ENST00000000412,1638,0.0023370143
41,ENST00000000412,1661,0.33169064
42,ENST00000000412,1699,0.35561404
43,ENST00000000412,1790,0.18633714
44,ENST00000000412,1860,0.23129712
45,ENST00000000412,1888,0.037833516
46,ENST00000000412,1960,0.03723697
47,ENST00000000412,1986,0.4117833
48,ENST00000000412,2195,0.0008240057
49,ENST00000000412,2230,0.0054707755
50,ENST00000000412,2275,0.055003263
51,ENST00000000412,2434,0.036248542
52,ENST00000000412,2462,0.20526196
53,ENST00000000412,2484,0.0016150785
54,ENST00000000412,2564,0.05980021
55,ENST00000000412,2580,0.9790744
56,ENST00000000412,2618,0.005147155
57,ENST00000000412,2707,0.0013114072
58,ENST00000000412,2728,0.0042521064
59,ENST00000002165,35,0.01529491
60,ENST00000002165,54,0.164402
61,ENST00000002165,207,0.24189803
62,ENST00000002165,367,0.10449022
63,ENST00000002165,449,0.045363814
64,ENST00000002165,457,0.013281184
65,ENST00000002165,501,0.1390115
66,ENST00000002165,534,0.15082861
67,ENST00000002165,547,0.1269147
68,ENST00000002165,567,0.19601554
69,ENST00000002165,572,0.21144348
70,ENST00000002165,576,0.19497767
71,ENST00000002165,589,0.98444074
72,ENST00000002165,680,0.011741118
73,ENST00000002165,708,0.4552658
74,ENST00000002165,771,0.089574136
75,ENST00000002165,900,0.0013712294
76,ENST00000002165,907,0.17643069
77,ENST00000002165,933,0.005300733
78,ENST00000002165,941,0.022884045
79,ENST00000002165,948,0.012437002
80,ENST00000002165,952,0.36903322
81,ENST00000002165,990,0.43908957
82,ENST00000002165,1031,0.44443303
83,ENST00000002165,1163,0.013535428
84,ENST00000002165,1188,0.068433486
85,ENST00000002165,1273,0.5114117
86,ENST00000002165,1324,0.011532463
87,ENST00000002165,1339,0.10693853
88,ENST00000002165,1350,0.08942539
89,ENST00000002165,1387,0.49604243
90,ENST00000002165,1400,0.00044509183
91,ENST00000002165,1445,0.88141525
92,ENST00000002165,1506,0.7767471
93,ENST00000002165,1553,0.234572
94,ENST00000002165,1630,0.00061764434
95,ENST00000002165,1639,0.0085873585
96,ENST00000007516,186,0.7124449
97,ENST00000007516,204,0.9800835
98,ENST00000007516,307,0.6302984
99,ENST00000007516,329,0.32107502
100,ENST00000007516,337,0.08873662
101,ENST00000007516,346,0.42048898
102,ENST00000007516,385,0.124483384
103,ENST00000007516,397,0.4594449
104,ENST00000007516,406,0.052066326
105,ENST00000007516,545,0.042055883
106,ENST00000007516,569,0.51226074
107,ENST00000007516,604,0.18874301
108,ENST00000007516,626,0.061800174
109,ENST00000007516,632,0.3887542
110,ENST00000007516,650,0.7857108
111,ENST00000001008,190,0.0057516117
112,ENST00000001008,257,0.3734408
113,ENST00000001008,270,0.014098235
114,ENST00000001008,338,0.2842
115,ENST00000001008,389,0.82950765
116,ENST00000001008,410,0.73330486
117,ENST00000001008,425,0.094379716
118,ENST00000001008,458,0.897535
119,ENST00000001008,510,0.016267842
120,ENST00000001008,652,0.18516172
121,ENST00000001008,725,0.20168386
122,ENST00000001008,737,0.037007138
123,ENST00000001008,776,0.09329468
124,ENST00000001008,831,0.16606943
125,ENST00000001008,990,0.03499892
126,ENST00000001008,1179,0.053168528
127,ENST00000001008,1214,0.010659759
128,ENST00000001008,1227,0.35599437
129,ENST00000001008,1232,0.9562747
130,ENST00000001008,1289,0.21873082
131,ENST00000001008,1296,0.7130474
132,ENST00000001008,1357,0.04777173
133,ENST00000001008,1454,0.12030242
134,ENST00000001008,1484,0.6218436
135,ENST00000001008,1496,0.16345386
136,ENST00000001008,1555,0.57782865
137,ENST00000001008,1642,0.06563575
138,ENST00000001008,1666,0.34310374
139,ENST00000001008,1793,0.50597286
140,ENST00000001008,1905,0.22574398
141,ENST00000001008,1924,0.52478224
142,ENST00000001008,2002,0.7316987
143,ENST00000001008,2013,0.0060528554
144,ENST00000001008,2095,0.029416058
145,ENST00000001008,2242,0.021257453
146,ENST00000007264,108,0.93139607
147,ENST00000007264,298,0.084433034
148,ENST00000007264,370,0.00784807
149,ENST00000007264,420,0.3132505
150,ENST00000007264,471,0.0005730355
151,ENST00000007264,496,0.0043518967
152,ENST00000007264,553,0.049565967
153,ENST00000007264,590,0.03766607
154,ENST00000007264,708,0.63269246
155,ENST00000007264,736,0.028629107
156,ENST00000007264,787,0.9477494
157,ENST00000007264,817,0.041453198
158,ENST00000007264,877,0.89390326
159,ENST00000007264,916,0.23336409
160,ENST00000007264,1061,0.07005526
161,ENST00000007264,1066,0.98394865
162,ENST00000007264,1116,0.97832084
163,ENST00000007264,1293,0.9668337
164,ENST00000007264,1341,0.003981954
165,ENST00000007264,1366,0.29239315
166,ENST00000007264,1413,0.98467875
167,ENST00000007264,1564,0.014362699
168,ENST00000007264,1640,0.15052767
169,ENST00000007264,1923,0.43411347
170,ENST00000007264,2015,0.9527449
171,ENST00000007390,435,0.3518375
172,ENST00000007390,439,0.049482446
173,ENST00000007390,500,0.24604887
174,ENST00000007390,570,0.41805327
175,ENST00000007390,589,0.16224276
176,ENST00000007390,642,0.17793646
177,ENST00000007390,693,0.5400913
178,ENST00000007390,699,0.11955387
179,ENST00000007390,714,0.46105778
180,ENST00000007390,846,0.0013104045
181,ENST00000007390,885,0.25937185
182,ENST00000007390,894,0.32450193
183,ENST00000007390,912,0.75576746
184,ENST00000007390,1041,0.98199016
185,ENST00000007390,1055,0.32814276
186,ENST00000007390,1096,0.6512807
187,ENST00000007390,1105,0.99099475
188,ENST00000007390,1151,0.9528619
189,ENST00000009589,62,0.66561997
190,ENST00000009589,90,0.056091066
191,ENST00000009589,147,0.0037112639
192,ENST00000009589,195,0.009160162
193,ENST00000009589,235,0.12920547
194,ENST00000009589,278,0.11821226
195,ENST00000009589,300,0.1015825
