,Transcript ID,Position,Score
0,ENST00000000233,244,0.15172559
1,ENST00000000233,261,0.30708465
2,ENST00000000233,316,0.73782104
3,ENST00000000233,332,0.7986312
4,ENST00000000233,368,0.9111449
5,ENST00000000233,404,0.1743017
6,ENST00000000233,431,0.96577996
7,ENST00000000233,440,0.48331752
8,ENST00000000233,471,0.86541104
9,ENST00000000233,539,0.9019373
10,ENST00000000233,571,0.40032062
11,ENST00000000233,575,0.22523303
12,ENST00000000233,665,0.87413216
13,ENST00000000233,696,0.060553763
14,ENST00000000233,752,0.40719724
15,ENST00000000233,757,0.68210906
16,ENST00000000233,765,0.8639394
17,ENST00000000233,913,0.57336783
18,ENST00000000412,355,0.82227904
19,ENST00000000412,367,0.52813995
20,ENST00000000412,496,0.24082525
21,ENST00000000412,501,0.8483263
22,ENST00000000412,547,0.4165348
23,ENST00000000412,559,0.8534188
24,ENST00000000412,627,0.052731927
25,ENST00000000412,674,0.28040034
26,ENST00000000412,769,0.12740724
27,ENST00000000412,783,0.313444
28,ENST00000000412,793,0.3165452
29,ENST00000000412,854,0.055864226
30,ENST00000000412,923,0.036217265
31,ENST00000000412,932,0.009448095
32,ENST00000000412,1190,0.5993206
33,ENST00000000412,1209,0.092669904
34,ENST00000000412,1250,0.23696725
35,ENST00000000412,1283,0.08618252
36,ENST00000000412,1343,0.0089670895
37,ENST00000000412,1458,0.05749925
38,ENST00000000412,1545,0.03167832
39,ENST00000000412,1570,0.13713498
40,ENST00000000412,1638,0.05736299
41,ENST00000000412,1661,0.4254526
42,ENST00000000412,1699,0.50713336
43,ENST00000000412,1790,0.19262803
44,ENST00000000412,1860,0.74626166
45,ENST00000000412,1888,0.3933566
46,ENST00000000412,1960,0.6248847
47,ENST00000000412,1986,0.74052376
48,ENST00000000412,2195,0.079392925
49,ENST00000000412,2230,0.03933314
50,ENST00000000412,2275,0.09990723
51,ENST00000000412,2434,0.6709384
52,ENST00000000412,2462,0.28045934
53,ENST00000000412,2484,0.02108413
54,ENST00000000412,2564,0.08678549
55,ENST00000000412,2580,0.98083484
56,ENST00000000412,2618,0.02554697
57,ENST00000000412,2707,0.013601872
58,ENST00000000412,2728,0.0090769585
